hybrid_id,restorer,FLW_HPH,FSTW_HPH,FSHW_HPH
R01_R51,R51,0.48,-0.123893805,0.088050314
R01_R52,R52,-0.01369863,-0.063380282,-0.042056075
R01_R54,R54,-0.152173913,-0.194690265,-0.182389937
R01_R56,R56,-0.086956522,-0.102564103,-0.098159509
R01_R57,R57,-0.038461538,-0.051094891,0.005291005
R01_R59,R59,-0.096153846,0.007751938,-0.011049724
R01_R60,R60,-0.239130435,-0.45625,-0.410628019
R02_R51,R51,-0.290322581,-0.255319149,-0.344978166
R02_R52,R52,-0.01369863,-0.084507042,-0.122270742
R02_R54,R54,-0.64516129,-0.510638298,-0.615720524
R02_R55,R55,-0.306451613,-0.364864865,-0.397379913
R02_R56,R56,-0.435483871,-0.269503546,-0.397379913
R02_R57,R57,-0.193548387,-0.177304965,-0.27510917
R02_R59,R59,-0.274193548,-0.170212766,-0.292576419
R02_R60,R60,-0.322580645,-0.45,-0.43231441
R03_R54,R54,-0.085106383,-0.307086614,-0.264367816
R03_R56,R56,0.127659574,0.118110236,0.120689655
R03_R59,R59,-0.153846154,-0.217054264,-0.198895028
R03_R60,R60,0,-0.375,-0.289855072
R04_R51,R51,-0.034482759,-0.408805031,-0.302325581
R04_R52,R52,-0.424657534,-0.41509434,-0.372093023
R04_R54,R54,-0.155172414,-0.433962264,-0.348837209
R04_R55,R55,-0.017241379,-0.339622642,-0.246511628
R04_R56,R56,-0.172413793,-0.333333333,-0.28372093
R04_R57,R57,0.017241379,-0.188679245,-0.125581395
R04_R59,R59,0.103448276,-0.169811321,-0.08372093
R04_R60,R60,-0.034482759,-0.3125,-0.223255814
R05_R51,R51,0.26,0.104761905,0.15483871
R05_R52,R52,0.04109589,-0.126760563,-0.070093458
R05_R54,R54,0.15,0.18,0.171428571
R05_R55,R55,0.076923077,-0.290540541,-0.134408602
R05_R56,R56,-0.043478261,-0.051282051,-0.049079755
R05_R59,R59,0.096153846,-0.108527132,-0.049723757
R05_R60,R60,0.133333333,-0.20625,-0.140096618
R06_R51,R51,0.259259259,-0.183006536,-0.085714286
R06_R54,R54,-0.12962963,-0.14379085,-0.152380952
R06_R55,R55,-0.12962963,-0.176470588,-0.176190476
R06_R56,R56,-0.277777778,-0.300653595,-0.3
R06_R57,R57,0.092592593,-0.013071895,0.047619048
R06_R59,R59,0.277777778,0.026143791,0.076190476
R06_R60,R60,-0.111111111,-0.24375,-0.2
R07_R51,R51,0.36,0.129032258,0.124324324
R07_R54,R54,0.104166667,0.14516129,0.054054054
R07_R56,R56,0.145833333,0.040322581,-0.005405405
R07_R57,R57,0.288461538,-0.218978102,-0.042328042
R07_R59,R59,-0.211538462,-0.248062016,-0.254054054
R07_R60,R60,-0.083333333,-0.29375,-0.241545894
R08_R51,R51,-0.210526316,-0.00621118,-0.050458716
R08_R54,R54,0.052631579,-0.074534161,-0.041284404
R08_R55,R55,0.035087719,-0.279503106,-0.197247706
R08_R56,R56,0.105263158,-0.01863354,0.009174312
R08_R59,R59,0.105263158,-0.161490683,-0.091743119
R08_R60,R60,-0.087719298,-0.204968944,-0.169724771
R09_R51,R51,-0.157894737,-0.341317365,-0.348314607
R09_R52,R52,-0.315789474,-0.179640719,-0.292134831
R09_R54,R54,-0.578947368,-0.473053892,-0.550561798
R09_R55,R55,-0.447368421,-0.407185629,-0.468164794
R09_R56,R56,-0.592105263,-0.48502994,-0.561797753
R09_R57,R57,-0.328947368,-0.209580838,-0.314606742
R09_R59,R59,-0.421052632,-0.233532934,-0.355805243
R09_R60,R60,-0.421052632,-0.215568862,-0.333333333
R10_R51,R51,0.169811321,0.098360656,0.074285714
R10_R52,R52,-0.109589041,-0.042253521,-0.060747664
R10_R56,R56,-0.169811321,-0.057377049,-0.091428571
R10_R57,R57,-0.037735849,-0.153284672,-0.116402116
R10_R59,R59,-0.037735849,-0.224806202,-0.171270718
R10_R60,R60,-0.018867925,-0.225,-0.149758454
R11_R51,R51,0.196078431,0.25,0.178571429
R11_R52,R52,0.01369863,0.098591549,0.060747664
R11_R54,R54,-0.274509804,-0.242647059,-0.285714286
R11_R56,R56,-0.333333333,-0.294117647,-0.341836735
R11_R57,R57,0.096153846,-0.01459854,-0.020408163
R11_R59,R59,0.038461538,-0.227941176,-0.193877551
R11_R60,R60,-0.039215686,-0.275,-0.202898551
R12_R51,R51,0.044776119,-0.438888889,-0.384892086
R12_R52,R52,-0.082191781,-0.227777778,-0.262589928
R12_R54,R54,-0.343283582,-0.422222222,-0.467625899
R12_R55,R55,-0.164179104,-0.416666667,-0.420863309
R12_R56,R56,-0.447761194,-0.505555556,-0.550359712
R12_R57,R57,-0.104477612,-0.261111111,-0.302158273
R12_R59,R59,-0.253731343,-0.394444444,-0.428057554
R12_R60,R60,-0.373134328,-0.388888889,-0.45323741
R13_R54,R54,-0.064516129,-0.131868132,-0.085714286
R13_R56,R56,-0.225806452,-0.32967033,-0.330612245
R13_R57,R57,0.064516129,-0.104395604,-0.069387755
R13_R59,R59,-0.048387097,-0.098901099,-0.102040816
R13_R60,R60,-0.14516129,-0.296703297,-0.265306122
R14_R51,R51,0.36,-0.20610687,0.011764706
R14_R52,R52,-0.205479452,-0.281690141,-0.252336449
R14_R54,R54,0.4,0.038167939,0.176470588
R14_R55,R55,0.384615385,0.135135135,0.360215054
R14_R56,R56,-0.065217391,-0.160305344,-0.1
R14_R57,R57,0.134615385,0.058394161,0.100529101
R14_R59,R59,-0.365384615,-0.099236641,-0.320441989
R14_R60,R60,0.177777778,-0.21875,-0.1352657
R15_R51,R51,0.16,0,0.051612903
R15_R54,R54,0.575757576,0.5625,0.637795276
R15_R55,R55,0.134615385,-0.128378378,0.010752688
R15_R56,R56,-0.108695652,-0.076923077,-0.085889571
R15_R57,R57,0,-0.051094891,-0.042328042
R15_R59,R59,0.480769231,0.209302326,0.287292818
R15_R60,R60,0.155555556,-0.25,-0.169082126
R16_R51,R51,-0.16,-0.330645161,-0.285714286
R16_R52,R52,-0.082191781,-0.105633803,-0.093457944
R16_R54,R54,-0.32,-0.403225806,-0.382857143
